Material,Absolute Roughness (mm),Data Source
"Copper, Lead, Brass, Aluminum (new)",0.001-0.002,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
PVC and plastic pipe,0.0015-0.007,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Flexible Rubber Tubing - Smooth,0.006-0.07,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Stainless Steel,0.0015,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Steel Commercial Pipe,0.045-0.09,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Welded Steel,0.045,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Carbon Steel (New),0.02-0.05,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Carbon Steel (Slightly Corroded),0.05-0.15,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Carbon Steel (Moderately Corroded),0.15-1,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Carbon Steel (Badly Corroded),1-3,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Asphalted Cast Iron,0.1-1,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
New Cast Iron,0.25-0.8,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Worn Cast Iron,0.8-1.5,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Rusty Cast Iron,1.5-2.5,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Galvanized Iron,0.025-0.15,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Wood Stave ,0.18-0.91,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
"Wood Stave, Used",0.25-1,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Smoothed Cement,0.3,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
Ordinary Concrete,0.3-1,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
"Concrete - Rough, Form Marks",0.8-3,https://www.nuclear-power.net/nuclear-engineering/fluid-dynamics/major-head-loss-friction-loss/relative-roughness-of-pipe/
