Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation intensity
Time series type: Annual maximum
Project area: Ohio River Basin
Location name (ESRI Maps): Urbana, Illinois, USA
Station Name: -
Latitude: 40.1174°
Longitude: -88.2044°
Elevation (USGS): 710.31 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for AEP:, '1/2,'1/5,'1/10,'1/25,'1/50,'1/100,'1/200,'1/500,'1/1000
5-min:, 5.35,6.74,7.68,8.86,9.71,10.6,11.5,12.7,13.6
10-min:, 4.18,5.24,5.93,6.77,7.37,7.96,8.57,9.32,9.90
15-min:, 3.41,4.29,4.86,5.57,6.08,6.59,7.10,7.76,8.25
30-min:, 2.28,2.94,3.38,3.94,4.34,4.76,5.18,5.75,6.18
60-min:, 1.40,1.84,2.15,2.55,2.86,3.18,3.52,3.98,4.34
2-hr:, 0.832,1.09,1.27,1.54,1.76,2.00,2.28,2.71,3.08
3-hr:, 0.593,0.777,0.911,1.11,1.27,1.46,1.67,2.00,2.29
6-hr:, 0.352,0.458,0.537,0.652,0.749,0.859,0.985,1.18,1.35
12-hr:, 0.204,0.264,0.308,0.371,0.425,0.485,0.554,0.659,0.753
24-hr:, 0.117,0.152,0.178,0.216,0.249,0.286,0.330,0.398,0.459
2-day:, 0.068,0.087,0.101,0.122,0.140,0.160,0.183,0.219,0.251
3-day:, 0.049,0.062,0.072,0.086,0.097,0.111,0.126,0.149,0.170
4-day:, 0.039,0.049,0.057,0.067,0.076,0.086,0.097,0.114,0.130
7-day:, 0.026,0.032,0.037,0.043,0.048,0.054,0.060,0.069,0.077
10-day:, 0.021,0.026,0.029,0.034,0.038,0.042,0.046,0.052,0.058
20-day:, 0.014,0.017,0.019,0.022,0.024,0.026,0.029,0.032,0.035
30-day:, 0.012,0.014,0.016,0.018,0.019,0.021,0.023,0.026,0.028
45-day:, 0.010,0.012,0.013,0.014,0.016,0.017,0.018,0.020,0.022
60-day:, 0.009,0.010,0.011,0.013,0.014,0.015,0.016,0.018,0.019

Date/time (GMT):  Thu Oct 25 22:20:48 2018
pyRunTime:  0.0190739631653
