Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 2 Version 3
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Ohio River Basin
Location name (ESRI Maps): Urbana, Illinois, USA
Station Name: -
Latitude: 40.1174°
Longitude: -88.2044°
Elevation (USGS): 710.31 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 4.91,5.82,6.90,7.76,8.89,9.76,10.6,11.5,12.7,13.7
10-min:, 3.81,4.54,5.36,5.99,6.80,7.40,7.99,8.60,9.36,9.94
15-min:, 3.12,3.70,4.39,4.92,5.60,6.10,6.62,7.13,7.79,8.28
30-min:, 2.06,2.48,3.01,3.41,3.95,4.36,4.78,5.20,5.77,6.21
60-min:, 1.26,1.52,1.89,2.17,2.56,2.87,3.19,3.53,3.99,4.36
2-hr:, 0.751,0.904,1.11,1.29,1.54,1.76,2.01,2.29,2.72,3.09
3-hr:, 0.536,0.645,0.795,0.920,1.11,1.28,1.46,1.68,2.01,2.30
6-hr:, 0.318,0.382,0.469,0.543,0.654,0.752,0.863,0.989,1.18,1.36
12-hr:, 0.184,0.221,0.270,0.311,0.373,0.427,0.487,0.556,0.662,0.756
24-hr:, 0.107,0.128,0.155,0.180,0.216,0.250,0.287,0.331,0.399,0.461
2-day:, 0.062,0.074,0.089,0.102,0.122,0.140,0.160,0.184,0.220,0.252
3-day:, 0.044,0.053,0.063,0.072,0.086,0.098,0.111,0.126,0.149,0.171
4-day:, 0.035,0.042,0.050,0.057,0.068,0.077,0.086,0.097,0.114,0.130
7-day:, 0.024,0.028,0.033,0.037,0.043,0.048,0.054,0.060,0.069,0.077
10-day:, 0.019,0.023,0.026,0.029,0.034,0.038,0.042,0.046,0.053,0.058
20-day:, 0.013,0.015,0.018,0.019,0.022,0.024,0.026,0.029,0.032,0.035
30-day:, 0.011,0.013,0.014,0.016,0.018,0.020,0.021,0.023,0.026,0.028
45-day:, 0.009,0.010,0.012,0.013,0.015,0.016,0.017,0.018,0.020,0.022
60-day:, 0.008,0.009,0.011,0.012,0.013,0.014,0.015,0.016,0.018,0.019

Date/time (GMT):  Mon Oct 29 18:25:55 2018
pyRunTime:  0.0194709300995
