Point precipitation frequency estimates (inches/hour)
NOAA Atlas 14 Volume 11 Version 2
Data type: Precipitation intensity
Time series type: Partial duration
Project area: Texas
Location name (ESRI Maps): Houston, Texas, USA
Station Name: -
Latitude: 29.7633°
Longitude: -95.3396°
Elevation (USGS): 33.12 ft


PRECIPITATION FREQUENCY ESTIMATES
by duration for ARI (years):, 1,2,5,10,25,50,100,200,500,1000
5-min:, 5.95,7.02,8.72,10.2,12.2,13.7,15.3,17.1,19.5,21.4
10-min:, 4.71,5.56,6.94,8.09,9.70,11.0,12.2,13.6,15.3,16.7
15-min:, 4.01,4.70,5.83,6.78,8.09,9.10,10.1,11.3,12.8,14.1
30-min:, 2.88,3.36,4.14,4.80,5.70,6.38,7.10,7.92,9.11,10.1
60-min:, 1.89,2.23,2.77,3.23,3.87,4.35,4.87,5.49,6.42,7.20
2-hr:, 1.14,1.40,1.78,2.13,2.64,3.05,3.51,4.06,4.90,5.63
3-hr:, 0.830,1.04,1.36,1.65,2.08,2.45,2.87,3.37,4.14,4.81
6-hr:, 0.480,0.626,0.830,1.03,1.33,1.60,1.91,2.28,2.84,3.33
12-hr:, 0.275,0.366,0.491,0.614,0.806,0.974,1.17,1.41,1.77,2.07
24-hr:, 0.159,0.214,0.290,0.365,0.482,0.587,0.709,0.850,1.06,1.24
2-day:, 0.090,0.124,0.170,0.216,0.288,0.354,0.429,0.510,0.625,0.719
3-day:, 0.066,0.090,0.124,0.157,0.209,0.257,0.311,0.367,0.445,0.508
4-day:, 0.053,0.072,0.098,0.124,0.164,0.201,0.242,0.284,0.344,0.391
7-day:, 0.035,0.046,0.062,0.077,0.101,0.122,0.145,0.170,0.204,0.232
10-day:, 0.027,0.035,0.047,0.058,0.075,0.089,0.106,0.123,0.147,0.166
20-day:, 0.018,0.022,0.029,0.034,0.043,0.050,0.057,0.066,0.077,0.086
30-day:, 0.014,0.017,0.022,0.026,0.032,0.036,0.041,0.046,0.053,0.059
45-day:, 0.012,0.014,0.018,0.021,0.025,0.028,0.031,0.034,0.038,0.042
60-day:, 0.011,0.012,0.015,0.018,0.021,0.023,0.025,0.028,0.031,0.033

Date/time (GMT):  Thu Nov  1 15:39:25 2018
pyRunTime:  0.0103659629822
