Section 1	0		Section 2	200		Section 3	600
x-lb	z-lb		x-lb	z-lb		x-lb	z-lb
0	300		0	300.8		100	301
50	280		47.5	280.8		150	277
200	275		190	275.8		200	276.5
210	265		199.5	265.8		210	266.5
260	265		247	265.8		260	266
270	275		256.5	275.8		270	277
420	280		399	280.8		320	278
450	300		427.5	300.8		350	302
							
Section 4	660		Section 5	760		Section 6	960
X	Z		X	Z		X	Z
100	301.2		0	301		0	302
150	277.2		40	281		20	282
200	276.7		180	277		220	278
210	266.7		200	267		240	268
260	266.2		270	268		300	269
270	277.2		280	278		320	278
320	278.2		400	282		400	283
350	302.2		430	302		430	303
							
Section 7	1160		Section 8 	1360		Section 9	1560
X	Z		X	Z		X	Z
0	303		0	303.8		0	304.5
20	283		19	283.8		19	284.5
120	278		114	278.8		114	279.5
130	270		123.5	270.8		123.5	271.5
180	269		171	269.8		171	270.5
200	278		190	278.8		190	279.5
300	283		285	283.8		285	284.5
350	303		332.5	303.8		332.5	304.5
							
Section 10	1760		Section 11	1060*		Section 12	1160
X	Z		X	Z		X	Z
0	305.2		0	303		0	304.5
19	285.2		20	283		20	284.5
114	280.2		120	278		120	279.5
123.5	272.2		130	270		130	271.5
171	271.2		160	269		160	270.5
190	280.2		170	278		170	279.5
285	285.2		270	283		270	284.5
332.5	305.2		300	303		300	304.5
							
Section 13	1260		Section 14	1360			
X	Z		X	Z			
0	304.5		0	305.2			
20	284.5		20	285.2			
120	279.5		120	280.2			
130	271.5		130	272.2			
160	270.5		160	271.2			
170	279.5		170	280.2			
270	284.5		270	285.2			
300	304.5		300	305.2			
