X-Easting	Y-Northing	Z-Elevation
34.75039628	14.98935962	70
28.53051847	453.1359195	70
27.80802363	887.3553186	70
41.53863669	1435.256872	70
133.7193451	-65.34885554	71
148.6958603	833.765468	67
95.28583064	1033.19331	68
179.1048654	1257.953428	69
354.9119432	97.89965641	69
348.7273874	514.8177124	68
379.264836	861.8111121	69
397.0671088	1162.645119	69
416.7864013	1411.350321	70
640.4708039	77.02437216	68
657.479938	854.5347863	67
764.7559719	1281.638414	68
924.1608113	79.32993347	68
941.1763676	852.9806196	66
847.531403	1033.60433	67
868.7888067	1457.904677	69
1060.705914	515.7232392	68
1264.683868	24.97263277	69
1235.854719	851.2915872	64
1251.682172	1238.991952	65
1244.014094	1447.507174	69
1362.71839	506.2248404	67
1506.183388	83.76123516	69
1532.36339	849.5800772	65
1565.013735	1026.722968	65
1539.055298	1227.74351	62
1778.913952	72.69261421	68
1821.557203	844.0987497	64
1789.805963	1226.59394	61
1809.576633	1444.421318	66
1932.034691	447.1279735	69
2093.706559	82.33551201	69
2204.787732	422.5503046	68
2105.253632	842.544583	63
2189.1401	1026.777556	62
2095.556146	1170.73385	60
2171.980045	1439.97075	62
2403.149494	7.131826846	69
2504.921722	442.0223433	67
2398.09203	846.6676203	62
2406.331682	1394.636607	60
2679.367299	100.2309064	68
2682.340767	513.1768463	63
2670.819382	837.5288633	61
2595.432665	1044.945893	60
2589.707295	1185.893398	59
2611.250485	1438.43585	59
2968.599644	71.59121096	67
2951.279035	581.2776044	61
2945.129801	976.9671564	59
2748.771759	1288.150501	58
3226.687646	60.70241094	63
3361.758859	282.9032908	66
3302.623459	623.2786378	60
3071.871451	705.2352414	61
3316.716925	953.1055601	26
3111.406369	1144.749725	26.5
2911.429431	1430.889793	27
3345.912139	-93.21788985	69
